complaint_id,complaint_text,date,product_version,customer_type,platform,category
ECOM-2001,Order got cancelled automatically after successful payment.,2024-11-29,v3.0,Free,Web,Payment Failure
ECOM-2002,Search results are inaccurate after the latest update.,2024-09-06,v2.0,Free,iOS,UI Bug
ECOM-2003,The app freezes while browsing product categories.,2024-09-01,v2.1,Free,iOS,Search & Filter Issue
ECOM-2004,Items disappear from the cart after app update.,2024-10-25,v1.1,Free,Android,UI Bug
ECOM-2005,Tracking information is not updating properly.,2024-09-24,v1.1,Free,iOS,Search & Filter Issue
ECOM-2006,The app freezes while browsing product categories.,2024-11-19,v2.0,Paid,Android,Delivery Delay
ECOM-2007,Search results are inaccurate after the latest update.,2024-11-02,v3.0,Free,iOS,Order Cancellation
ECOM-2008,App crashes when trying to place an order.,2024-10-12,v3.0,Paid,iOS,Delivery Delay
ECOM-2009,Payment failed after entering card details during checkout.,2024-10-19,v2.1,Free,Android,Delivery Delay
ECOM-2010,Order got cancelled automatically after successful payment.,2024-11-20,v3.0,Paid,Android,Delivery Delay
ECOM-2011,The app freezes while browsing product categories.,2024-11-27,v2.0,Paid,Android,Refund Issue
ECOM-2012,Tracking information is not updating properly.,2024-11-30,v3.0,Free,Web,Refund Issue
ECOM-2013,Search results are inaccurate after the latest update.,2024-09-16,v3.0,Free,Web,App Crash
ECOM-2014,The app freezes while browsing product categories.,2024-11-07,v1.2,Paid,Web,App Crash
ECOM-2015,Items disappear from the cart after app update.,2024-11-29,v1.1,Free,iOS,Payment Failure
ECOM-2016,Refund has not been received even after 10 days.,2024-10-26,v2.0,Paid,iOS,Payment Failure
ECOM-2017,Order got cancelled automatically after successful payment.,2024-10-07,v1.1,Paid,Web,Cart Issue
ECOM-2018,Delivery is delayed beyond the promised date.,2024-10-07,v1.1,Free,iOS,UI Bug
ECOM-2019,Search results are inaccurate after the latest update.,2024-09-05,v3.0,Free,Web,App Crash
ECOM-2020,App crashes when trying to place an order.,2024-11-09,v1.1,Paid,Web,Cart Issue
ECOM-2021,Unable to apply discount coupon at checkout.,2024-09-24,v2.1,Free,Web,Delivery Delay
ECOM-2022,Order got cancelled automatically after successful payment.,2024-10-12,v1.1,Paid,iOS,Refund Issue
